frame_idx,time_s,speed_pixel_py,speed_pixel_cpp,speed_diff,direction_deg_py,direction_deg_cpp,direction_diff
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.033,0.0,0.12,0.12,0.0,238.1,238.1
2,0.067,1.0,0.55,-0.45,180.0,262.21,82.21
3,0.1,2.24,1.63,-0.61,296.57,274.61,-21.96
4,0.133,1.0,1.53,0.53,270.0,282.03,12.03
5,0.167,3.16,2.16,-1.0,288.43,288.33,-0.1
6,0.2,1.0,1.92,0.92,270.0,297.63,27.63
7,0.233,3.16,2.5,-0.66,288.43,294.46,6.03
8,0.267,2.83,2.86,0.03,315.0,299.16,-15.84
9,0.3,2.83,3.01,0.18,315.0,304.82,-10.18
10,0.333,3.16,3.47,0.31,288.43,303.07,14.64
11,0.367,4.24,2.98,-1.26,315.0,313.56,-1.44
12,0.4,2.83,3.26,0.43,315.0,312.83,-2.17
13,0.433,2.83,3.5,0.67,315.0,317.43,2.43
14,0.467,3.61,3.29,-0.32,326.31,326.57,0.26
15,0.5,3.61,3.64,0.03,326.31,325.57,-0.74
16,0.533,4.12,3.94,-0.18,345.96,340.88,-5.08
17,0.567,4.47,4.31,-0.16,333.43,345.59,12.16
18,0.6,4.12,4.44,0.32,345.96,346.12,0.16
19,0.633,5.0,5.11,0.11,0.0,351.18,351.18
20,0.667,5.1,4.73,-0.37,348.69,348.43,-0.26
21,0.7,5.0,5.38,0.38,0.0,358.93,358.93
22,0.733,5.1,5.14,0.04,348.69,351.38,2.69
23,0.767,6.08,5.3,-0.78,350.54,355.71,5.17
24,0.8,5.1,4.99,-0.11,348.69,346.55,-2.14
25,0.833,4.12,4.88,0.76,345.96,339.78,-6.18
26,0.867,4.47,4.39,-0.08,333.43,345.91,12.48
27,0.9,4.47,4.28,-0.19,333.43,324.12,-9.31
28,0.933,3.61,3.46,-0.15,326.31,327.89,1.58
29,0.967,2.83,3.09,0.26,315.0,305.86,-9.14
30,1.0,3.16,2.81,-0.35,288.43,297.21,8.78
31,1.033,2.0,2.25,0.25,270.0,272.77,2.77
32,1.067,2.0,2.31,0.31,270.0,258.62,-11.38
33,1.1,3.61,2.95,-0.66,236.31,240.02,3.71
34,1.133,2.83,3.16,0.33,225.0,232.73,7.73
35,1.167,3.61,3.61,0.0,213.69,211.9,-1.79
36,1.2,4.24,4.0,-0.24,225.0,213.97,-11.03
37,1.233,4.47,4.62,0.15,206.57,205.62,-0.95
38,1.267,5.1,5.18,0.08,191.31,196.08,4.77
39,1.3,6.08,5.71,-0.37,189.46,193.4,3.94
40,1.333,6.08,6.22,0.14,189.46,187.32,-2.14
41,1.367,7.07,7.12,0.05,188.13,186.95,-1.18
42,1.4,8.06,7.87,-0.19,187.13,187.03,-0.1
43,1.433,7.0,7.49,0.49,180.0,183.01,3.01
44,1.467,8.0,7.81,-0.19,180.0,180.71,0.71
45,1.5,9.0,8.48,-0.52,180.0,179.69,-0.31
46,1.533,8.0,8.69,0.69,180.0,177.04,-2.96
47,1.567,9.06,8.65,-0.41,173.66,174.02,0.36
48,1.6,9.0,9.09,0.09,180.0,176.8,-3.2
49,1.633,9.06,9.26,0.2,173.66,177.26,3.6
50,1.667,9.06,8.56,-0.5,173.66,174.97,1.31
51,1.7,9.06,9.46,0.4,173.66,172.49,-1.17
