frame_idx,time_s,speed_pixel,direction_deg
0,0.0,0.0,0.0
1,0.033,0.0,0.0
2,0.067,1.0,180.0
3,0.1,2.24,296.57
4,0.133,1.0,270.0
5,0.167,3.16,288.43
6,0.2,1.0,270.0
7,0.233,3.16,288.43
8,0.267,2.83,315.0
9,0.3,2.83,315.0
10,0.333,3.16,288.43
11,0.367,4.24,315.0
12,0.4,2.83,315.0
13,0.433,2.83,315.0
14,0.467,3.61,326.31
15,0.5,3.61,326.31
16,0.533,4.12,345.96
17,0.567,4.47,333.43
18,0.6,4.12,345.96
19,0.633,5.0,0.0
20,0.667,5.1,348.69
21,0.7,5.0,0.0
22,0.733,5.1,348.69
23,0.767,6.08,350.54
24,0.8,5.1,348.69
25,0.833,4.12,345.96
26,0.867,4.47,333.43
27,0.9,4.47,333.43
28,0.933,3.61,326.31
29,0.967,2.83,315.0
30,1.0,3.16,288.43
31,1.033,2.0,270.0
32,1.067,2.0,270.0
33,1.1,3.61,236.31
34,1.133,2.83,225.0
35,1.167,3.61,213.69
36,1.2,4.24,225.0
37,1.233,4.47,206.57
38,1.267,5.1,191.31
39,1.3,6.08,189.46
40,1.333,6.08,189.46
41,1.367,7.07,188.13
42,1.4,8.06,187.13
43,1.433,7.0,180.0
44,1.467,8.0,180.0
45,1.5,9.0,180.0
46,1.533,8.0,180.0
47,1.567,9.06,173.66
48,1.6,9.0,180.0
49,1.633,9.06,173.66
50,1.667,9.06,173.66
51,1.7,9.06,173.66
52,1.733,9.22,167.47
53,1.767,9.06,173.66
54,1.8,8.54,159.44
55,1.833,8.54,159.44
56,1.867,8.25,165.96
57,1.9,8.06,150.26
58,1.933,8.6,144.46
59,1.967,8.06,150.26
60,2.0,8.49,135.0
61,2.033,7.81,129.81
62,2.067,7.81,129.81
63,2.1,8.54,110.56
64,2.133,8.54,110.56
65,2.167,8.54,110.56
66,2.2,8.25,104.04
67,2.233,9.06,96.34
68,2.267,9.22,102.53
69,2.3,10.05,95.71
70,2.333,10.0,90.0
71,2.367,9.06,96.34
72,2.4,10.05,95.71
73,2.433,9.0,90.0
74,2.467,10.05,95.71
75,2.5,9.0,90.0
76,2.533,8.0,90.0
77,2.567,8.0,90.0
78,2.6,8.0,90.0
79,2.633,7.0,90.0
80,2.667,7.07,81.87
81,2.7,5.0,90.0
82,2.733,6.08,80.54
83,2.767,6.08,80.54
84,2.8,5.0,53.13
85,2.833,4.47,63.43
86,2.867,6.4,51.34
87,2.9,4.47,26.57
88,2.933,7.21,33.69
89,2.967,6.71,26.57
90,3.0,6.71,26.57
91,3.033,7.28,15.95
92,3.067,7.62,23.2
93,3.1,8.54,20.56
94,3.133,9.22,12.53
95,3.167,8.25,14.04
96,3.2,8.25,14.04
97,3.233,8.0,0.0
98,3.267,8.06,352.87
99,3.3,7.62,336.8
100,3.333,7.62,336.8
101,3.367,9.43,327.99
102,3.4,8.06,330.26
103,3.433,9.9,315.0
104,3.467,9.43,327.99
105,3.5,9.9,315.0
106,3.533,11.4,322.13
107,3.567,13.45,318.01
108,3.6,12.73,315.0
109,3.633,13.45,318.01
110,3.667,14.14,315.0
111,3.7,17.03,310.24
112,3.733,15.0,306.87
113,3.767,15.81,304.7
114,3.8,16.12,299.74
115,3.833,15.23,293.2
116,3.867,15.23,293.2
117,3.9,15.81,288.43
118,3.933,17.26,280.01
119,3.967,17.12,276.71
120,4.0,17.12,276.71
121,4.033,16.03,273.58
122,4.067,15.03,273.81
123,4.1,16.03,266.42
124,4.133,14.04,265.91
125,4.167,13.15,261.25
126,4.2,12.37,255.96
127,4.233,12.65,251.57
128,4.267,13.0,247.38
129,4.3,11.18,243.43
130,4.333,11.4,232.13
131,4.367,11.4,232.13
132,4.4,12.73,225.0
133,4.433,12.04,221.63
134,4.467,11.66,210.96
135,4.5,12.53,208.61
136,4.533,13.0,202.62
137,4.567,13.6,197.1
138,4.6,14.14,188.13
139,4.633,15.13,187.59
140,4.667,15.0,180.0
141,4.7,15.03,176.19
142,4.733,17.26,169.99
143,4.767,17.72,163.61
144,4.8,19.92,162.47
145,4.833,20.62,157.17
146,4.867,21.54,158.2
147,4.9,23.41,160.02
148,4.933,23.26,154.54
149,4.967,22.85,156.8
150,5.0,22.47,147.72
151,5.033,22.83,151.19
152,5.067,21.1,148.57
153,5.1,20.25,147.09
154,5.133,20.25,147.09
155,5.167,18.6,143.75
156,5.2,17.03,139.76
157,5.233,17.69,137.29
158,5.267,15.62,129.81
159,5.3,17.2,125.54
160,5.333,16.55,115.02
161,5.367,15.52,104.93
162,5.4,15.13,97.59
163,5.433,15.03,93.81
164,5.467,16.12,82.87
165,5.5,15.81,71.57
166,5.533,18.03,70.56
